
> sevenboard@0.1.0 dev:web
> npm run dev -w apps/web


> @sevenboard/web@0.1.0 dev
> next dev

▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.6.39:3000
- Environments: .env.local
✓ Ready in 3.5s

 GET /variance 200 in 41ms (next.js: 5ms, application-code: 36ms)
 GET /budget 200 in 76ms (next.js: 8ms, application-code: 68ms)
 GET /variable-cost 200 in 104ms (next.js: 17ms, application-code: 87ms)
 GET /financial-statements 200 in 35ms (next.js: 5ms, application-code: 29ms)
 GET /cashflow 200 in 44ms (next.js: 6ms, application-code: 38ms)
 GET /kpi 200 in 108ms (next.js: 12ms, application-code: 97ms)
 GET /comments 200 in 65ms (next.js: 8ms, application-code: 57ms)
 GET /ai-report 200 in 49ms (next.js: 6ms, application-code: 43ms)
 GET /alerts 200 in 71ms (next.js: 9ms, application-code: 62ms)
 GET /masters 200 in 129ms (next.js: 51ms, application-code: 78ms)
 GET / 200 in 46ms (next.js: 5ms, application-code: 41ms)
 GET /variance 200 in 46ms (next.js: 5ms, application-code: 41ms)
 GET / 200 in 49ms (next.js: 10ms, application-code: 39ms)
 GET /budget 200 in 43ms (next.js: 5ms, application-code: 38ms)
 GET /variable-cost 200 in 48ms (next.js: 7ms, application-code: 41ms)
 GET /financial-statements 200 in 55ms (next.js: 12ms, application-code: 43ms)
 GET /cashflow 200 in 40ms (next.js: 4ms, application-code: 36ms)
 GET /kpi 200 in 59ms (next.js: 7ms, application-code: 52ms)
 GET /kpi 200 in 38ms (next.js: 4ms, application-code: 34ms)
 GET /ai-report 200 in 42ms (next.js: 5ms, application-code: 37ms)
 GET /alerts 200 in 43ms (next.js: 5ms, application-code: 38ms)
✓ Compiled in 661ms
 GET / 200 in 634ms (next.js: 187ms, application-code: 447ms)
 GET /alerts 200 in 661ms (next.js: 277ms, application-code: 384ms)
 GET /comments 200 in 665ms (next.js: 369ms, application-code: 296ms)
 GET / 200 in 347ms (next.js: 17ms, application-code: 329ms)
 GET /alerts 200 in 416ms (next.js: 10ms, application-code: 406ms)
 GET /comments 200 in 741ms (next.js: 17ms, application-code: 723ms)
 GET / 200 in 766ms (next.js: 132ms, application-code: 634ms)
 GET / 200 in 767ms (next.js: 204ms, application-code: 563ms)
 GET /alerts 200 in 446ms (next.js: 32ms, application-code: 414ms)
 GET /alerts 200 in 434ms (next.js: 243ms, application-code: 190ms)
 GET /comments 200 in 198ms (next.js: 11ms, application-code: 187ms)
 GET /comments 200 in 115ms (next.js: 16ms, application-code: 99ms)
 GET / 200 in 33ms (next.js: 6ms, application-code: 27ms)
 GET /variance 200 in 78ms (next.js: 30ms, application-code: 48ms)
 GET /budget 200 in 69ms (next.js: 25ms, application-code: 44ms)
 GET /variable-cost 200 in 60ms (next.js: 26ms, application-code: 34ms)
 GET /financial-statements 200 in 66ms (next.js: 25ms, application-code: 42ms)
 GET /cashflow 200 in 65ms (next.js: 28ms, application-code: 37ms)
 GET /kpi 200 in 72ms (next.js: 33ms, application-code: 39ms)
 GET / 200 in 47ms (next.js: 8ms, application-code: 39ms)
 GET /variance 200 in 40ms (next.js: 6ms, application-code: 34ms)
 GET / 200 in 42ms (next.js: 6ms, application-code: 36ms)
 GET / 200 in 980ms (next.js: 5ms, application-code: 976ms)
 GET /select-org 200 in 844ms (next.js: 374ms, application-code: 470ms)
 GET / 200 in 83ms (next.js: 11ms, application-code: 72ms)
 GET /select-org 200 in 108ms (next.js: 15ms, application-code: 93ms)
 GET / 200 in 55ms (next.js: 10ms, application-code: 45ms)
 GET / 200 in 121ms (next.js: 6ms, application-code: 114ms)
 GET /select-org 200 in 106ms (next.js: 11ms, application-code: 95ms)
 GET / 200 in 42ms (next.js: 7ms, application-code: 36ms)
 GET /variance 200 in 48ms (next.js: 6ms, application-code: 42ms)
 GET /budget 200 in 49ms (next.js: 8ms, application-code: 41ms)
 GET /variable-cost 200 in 65ms (next.js: 8ms, application-code: 56ms)
 GET / 200 in 42ms (next.js: 5ms, application-code: 37ms)
 GET / 200 in 708ms (next.js: 323ms, application-code: 386ms)
 GET /alerts 200 in 710ms (next.js: 435ms, application-code: 275ms)
 GET / 200 in 347ms (next.js: 7ms, application-code: 339ms)
 GET /alerts 200 in 377ms (next.js: 15ms, application-code: 362ms)
 GET / 200 in 330ms (next.js: 8ms, application-code: 321ms)
 GET / 200 in 331ms (next.js: 49ms, application-code: 282ms)
 GET / 200 in 421ms (next.js: 8ms, application-code: 413ms)
 GET / 200 in 425ms (next.js: 64ms, application-code: 361ms)
 GET / 200 in 316ms (next.js: 15ms, application-code: 302ms)
 GET / 200 in 269ms (next.js: 11ms, application-code: 258ms)
 GET / 200 in 221ms (next.js: 11ms, application-code: 209ms)
 GET / 200 in 222ms (next.js: 48ms, application-code: 173ms)
 GET / 200 in 332ms (next.js: 11ms, application-code: 320ms)
 GET / 200 in 347ms (next.js: 58ms, application-code: 289ms)
 GET / 200 in 296ms (next.js: 15ms, application-code: 281ms)
 GET / 200 in 288ms (next.js: 10ms, application-code: 278ms)
 GET / 200 in 337ms (next.js: 66ms, application-code: 271ms)
 GET / 200 in 338ms (next.js: 109ms, application-code: 228ms)
 GET / 200 in 276ms (next.js: 10ms, application-code: 266ms)
 GET / 200 in 280ms (next.js: 11ms, application-code: 270ms)
 GET / 200 in 287ms (next.js: 12ms, application-code: 276ms)
 GET / 200 in 283ms (next.js: 9ms, application-code: 274ms)
 GET / 200 in 323ms (next.js: 48ms, application-code: 275ms)
 GET / 200 in 286ms (next.js: 57ms, application-code: 229ms)
 GET / 200 in 216ms (next.js: 9ms, application-code: 207ms)
 GET / 200 in 254ms (next.js: 13ms, application-code: 241ms)
 GET / 200 in 249ms (next.js: 9ms, application-code: 240ms)
